sample_id,cab_gate,mix_gate,cab_mean_l1_from_uniform,cab_mean_max_abs_from_uniform,cab_mean_kl_from_uniform,cab_mean_one_minus_entropy,mix_l1_from_uniform,mix_max_abs_from_uniform,mix_kl_from_uniform,mix_one_minus_entropy,cab_head_best_idx,cab_head_best_score
77,0.5239022374153137,1.0,0.02592737227678299,0.008793652057647705,0.0003561840622561146,0.0002569250395496603,0.0055798813700675964,0.002066880464553833,1.6592516393849346e-05,1.1976421139175963e-05,2,0.021170270283593404
78,0.5239022374153137,1.0,0.026760131120681763,0.009001463651657104,0.0003767132999123958,0.000271726303649078,0.005331996828317642,0.0018243342638015747,1.4884546965321724e-05,1.0725755175439167e-05,2,0.020795111082591335
79,0.5239022374153137,1.0,0.027340564876794815,0.009080201387405396,0.0003932972436197556,0.0002837226179342178,0.005895320326089859,0.0018043667078018188,1.779265067823046e-05,1.283840973906325e-05,2,0.021045892692847755
80,0.5239022374153137,1.0,0.027770597487688065,0.009186983108520508,0.00040416185176249137,0.0002915448749173932,0.005417276173830032,0.0018405020236968994,1.5327432184504477e-05,1.1060130491402642e-05,2,0.02169917384726576
81,0.5239022374153137,1.0,0.02736113965511322,0.009095191955566406,0.0003929361679786054,0.00028345843162555506,0.0057534947991371155,0.0018333494663238525,1.7093369103586976e-05,1.2322808838421961e-05,2,0.02063389773579509
82,0.5239022374153137,1.0,0.027775131165981293,0.009165838360786438,0.0004032494120094574,0.0002908904140543622,0.0052780285477638245,0.0018284022808074951,1.4608453712411222e-05,1.0530321282314903e-05,2,0.020654151788142373
83,0.5239022374153137,1.0,0.027856353670358658,0.009140849113464355,0.00040768339330555614,0.0002941000313388953,0.005469821393489838,0.0016559362411499023,1.5242868876308685e-05,1.0987955087776724e-05,2,0.02039380744181666
84,0.5239022374153137,1.0,0.028176013380289078,0.009015887975692749,0.0004155162604856774,0.00029972044833481704,0.005532477051019669,0.0017827898263931274,1.5629104846085612e-05,1.1277741317761159e-05,2,0.01999706072334511
85,0.5239022374153137,1.0,0.02640688419342041,0.008822038769721985,0.0003698902925280865,0.0002668045441903688,0.005375545471906662,0.001972764730453491,1.574176836754873e-05,1.1381362611390111e-05,2,0.01922664555621105
86,0.5239022374153137,1.0,0.02487081289291382,0.007954299449920654,0.0003279636260120414,0.0002365608472585934,0.005212273448705673,0.001866072416305542,1.4986374574316939e-05,1.0821560010532139e-05,2,0.017732939173249487
87,0.5239022374153137,1.0,0.02370912954211235,0.00743257999420166,0.00029627148774709214,0.00021372587893564443,0.004608370363712311,0.0017256587743759155,1.252676702110682e-05,9.028701749319579e-06,2,0.0162067229307635
